Session,Start,05/11/2017 20:24:32,
BPM,100.0000,
TotalNumberOfBeats,40,
NumberOfHits,0,
NumberOfMisses,40,
NumberOfMis-Hits,0,
AverageTimeOffsets,NaN,
TimeOffsetsVariance,NaN,
Tendency,Early,
Session,Start,05/11/2017 20:25:08,
BPM,180.0000,
0,0.1336181
1,0.3807299
2,0.73244
3,1.049013
4,1.414111
5,1.717187
6,2.0833
7,2.364173
8,2.717741
9,3.048582
10,3.364404
11,3.682566
TotalNumberOfBeats,72,
NumberOfHits,12,
NumberOfMisses,60,
NumberOfMis-Hits,0,
AverageTimeOffsets,0.05732214,
TimeOffsetsVariance,0.02236346,
Tendency,Late,
