Session,Start,05/11/2017 22:26:51,
BPM,120.0000,
0,4.108369
1,0.282402
2,1.082212
3,1.649396
4,2.165452
5,2.649312
10,5.014777
11,5.264629
14,7.032423
15,7.299592
16,8.050341
18,9.066238
19,9.35059
20,10.14941
TotalNumberOfBeats,48,
NumberOfHits,14,
NumberOfMisses,34,
NumberOfMis-Hits,6,
AverageTimeOffsets,0.3188027,
TimeOffsetsVariance,0.1772919,
Tendency,Early,
Session,Start,05/11/2017 22:27:29,
BPM,120.0000,
0,4.086618
1,0.2837572
2,0.83289
3,1.399976
4,1.950948
5,2.483662
6,2.967101
7,3.467992
8,3.95126
9,4.450754
10,4.967186
11,5.468397
12,5.968058
13,6.483765
14,6.967511
15,7.468204
16,7.951767
17,8.451786
18,8.901772
19,9.385025
20,9.93525
21,10.45183
22,10.90161
23,11.41931
24,11.91811
25,12.41826
26,12.9022
27,13.40102
28,13.90262
29,14.43567
30,14.93692
31,15.41991
32,15.96801
33,16.46816
34,16.91964
35,17.45256
36,17.96913
37,18.46861
38,18.98651
39,19.45276
40,19.93658
41,20.45357
42,20.97023
43,21.48678
44,21.98705
45,22.53656
46,23.03632
47,23.52098
TotalNumberOfBeats,48,
NumberOfHits,48,
NumberOfMisses,0,
NumberOfMis-Hits,0,
AverageTimeOffsets,0.1144494,
TimeOffsetsVariance,0.05970531,
Tendency,Early,
