Session,Start,05/11/2017 20:23:16,
BPM,180.0000,
TotalNumberOfBeats,72,
NumberOfHits,0,
NumberOfMisses,72,
NumberOfMis-Hits,0,
AverageTimeOffsets,NaN,
TimeOffsetsVariance,NaN,
Tendency,Early,
