Session,Start,11/2/2018 2:31:24 PM,
Game Number,1,
BPM,55.0000,
Onset Error,± 0.1,
Duration Threshold,0.85,
Response Lag,0.15,
Index,Onset_Expected, Onset_Actual, Onset_Diff,Dur_Expected, Dur_Actual, Dur_Diff,
0,0,-0.08095074,0.08095074,
1,1.090909,0.996202,0.09470713,
,NaN,1.52542,NaN,
2,1.636364,NaN,NaN,
,NaN,3.132464,NaN,
3,3.272727,NaN,NaN,
4,4.363636,4.275553,0.08808374,
5,4.909091,NaN,NaN,
,NaN,5.137214,NaN,
,NaN,6.380236,NaN,
6,6.545455,NaN,NaN,
,NaN,7.522716,NaN,
7,7.636364,NaN,NaN,
,NaN,8.019553,NaN,
8,8.181818,NaN,NaN,
9,9.818182,9.726283,0.09189892,
10,10.90909,10.91923,-0.01013565,
11,11.45455,11.39919,0.05535793,
12,13.09091,NaN,NaN,
13,14.18182,NaN,NaN,
14,14.72727,NaN,NaN,
15,16.36364,NaN,NaN,
16,17.45455,NaN,NaN,
17,18,NaN,NaN,
18,19.63637,NaN,NaN,
19,20.72728,NaN,NaN,
20,21.27273,NaN,NaN,
21,22.90909,NaN,NaN,
22,24,NaN,NaN,
23,24.54546,NaN,NaN,
24,26.18182,NaN,NaN,
25,27.27273,NaN,NaN,
26,27.81819,NaN,NaN,
27,29.45455,NaN,NaN,
28,30.54546,NaN,NaN,
29,31.09091,NaN,NaN,
30,32.72728,NaN,NaN,
31,33.81818,NaN,NaN,
32,34.36364,NaN,NaN,
33,36,NaN,NaN,
34,37.09091,NaN,NaN,
35,37.63637,NaN,NaN,
36,39.27273,NaN,NaN,
37,40.36364,NaN,NaN,
38,40.9091,NaN,NaN,
39,42.54546,NaN,NaN,
40,43.63637,NaN,NaN,
41,44.18182,NaN,NaN,
42,45.81819,NaN,NaN,
43,46.9091,NaN,NaN,
44,47.45455,NaN,NaN,
45,49.09092,NaN,NaN,
46,50.18182,NaN,NaN,
47,50.72728,NaN,NaN,
48,52.36364,NaN,NaN,
49,53.45455,NaN,NaN,
50,54.00001,NaN,NaN,
51,55.63637,NaN,NaN,
52,56.72728,NaN,NaN,
53,57.27274,NaN,NaN,
54,58.9091,NaN,NaN,
OnsetScore,10.90909,
NumberOfHits,6,
NumberOfMisses,49,
NumberOfFalseAlarms,6,
TotalNumberOfBeats,55,
Session,Start,11/2/2018 2:33:41 PM,
Game Number,0,
BPM,55.0000,
Onset Error,± 0.1,
Duration Threshold,0.85,
Response Lag,0.15,
Index,Onset_Expected, Onset_Actual, Onset_Diff,Dur_Expected, Dur_Actual, Dur_Diff,
Session,Start,11/2/2018 2:42:23 PM,
Game Number,0,
BPM,55.0000,
Onset Error,± 0.1,
Duration Threshold,0.85,
Response Lag,0.15,
Index,Onset_Expected, Onset_Actual, Onset_Diff,Dur_Expected, Dur_Actual, Dur_Diff,
