Session,Start,9/9/2018 2:16:47 PM,
Game Number,5,
BPM,75.0000,
Onset Error,± 0.1,
Duration Threshold,0.85,
Response Lag,0.15,
Index,Onset_Expected, Onset_Actual, Onset_Diff,Dur_Expected, Dur_Actual, Dur_Diff,
0,0,NaN,NaN,
1,0.8,NaN,NaN,
2,1.6,NaN,NaN,
3,3.2,NaN,NaN,
4,4,NaN,NaN,
5,4.8,NaN,NaN,
6,6.4,NaN,NaN,
7,7.2,NaN,NaN,
8,8,NaN,NaN,
9,9.6,NaN,NaN,
10,10.4,NaN,NaN,
11,11.2,NaN,NaN,
12,12.8,NaN,NaN,
13,13.6,NaN,NaN,
14,14.4,NaN,NaN,
15,16,NaN,NaN,
16,16.8,NaN,NaN,
17,17.6,NaN,NaN,
18,19.2,NaN,NaN,
19,20,NaN,NaN,
20,20.8,NaN,NaN,
21,22.4,NaN,NaN,
22,23.2,NaN,NaN,
23,24,NaN,NaN,
24,25.6,NaN,NaN,
25,26.4,NaN,NaN,
26,27.2,NaN,NaN,
27,28.8,NaN,NaN,
28,29.6,NaN,NaN,
29,30.4,NaN,NaN,
30,32,NaN,NaN,
31,32.8,NaN,NaN,
32,33.6,NaN,NaN,
33,35.2,NaN,NaN,
34,36,NaN,NaN,
35,36.8,NaN,NaN,
36,38.4,NaN,NaN,
37,39.2,NaN,NaN,
38,40,NaN,NaN,
39,41.6,NaN,NaN,
40,42.4,NaN,NaN,
41,43.2,NaN,NaN,
42,44.8,NaN,NaN,
43,45.6,NaN,NaN,
44,46.4,NaN,NaN,
45,48,NaN,NaN,
46,48.8,48.72134,0.07865524,
,NaN,49.49998,NaN,
47,49.6,NaN,NaN,
,NaN,50.34426,NaN,
48,51.2,NaN,NaN,
49,52,51.95123,0.04877472,
50,52.8,NaN,NaN,
51,54.4,NaN,NaN,
52,55.2,55.11546,0.08453751,
,NaN,55.87753,NaN,
53,56,NaN,NaN,
,NaN,56.68929,NaN,
,NaN,58.29626,NaN,
OnsetScore,5.555555,
NumberOfHits,3,
NumberOfMisses,51,
NumberOfFalseAlarms,5,
TotalNumberOfBeats,54,
