Session,Start,11/5/2017 8:48:12 PM,
BPM,120.0000,
2,0.9940004
3,1.457867
4,2.004567
5,2.518134
6,2.99857
7,3.495702
8,3.992563
9,4.489568
10,5.003133
11,5.483568
12,5.964001
13,6.494133
14,7.0077
15,7.537834
16,8.051399
17,8.564967
18,9.111667
19,9.608666
20,10.1388
21,10.6358
22,11.13294
23,11.64637
24,12.1765
25,12.70663
26,13.18748
28,13.78347
29,14.29736
30,14.84373
31,15.39043
32,15.904
33,16.401
34,16.93113
35,17.42824
36,17.95849
37,18.4222
38,18.95227
39,19.44927
40,19.94627
41,20.45997
42,21.13907
43,21.61952
44,22.14963
45,22.66368
47,23.74003
TotalNumberOfBeats,48,
NumberOfHits,44,
NumberOfMisses,4,
NumberOfMis-Hits,0,
AverageTimeOffsets,0.08106079,
TimeOffsetsVariance,0.05527616,
Tendency,Late,
